model,d,m,precision,tp,fp
BLOW_HNSN_SOFN,2,9,0.0,0,19
BLOW_HNSN_SOFN,3,4,0.0,0,7
BLOW_HNSN_SOFN,3,5,0.0,0,58
BLOW_HNSN_SOFN,3,6,0.0,0,26
BLOW_HNSN_SOFN,3,7,0.0,0,8
BLOW_HNSN_SOFN,3,8,0.0,0,26
BLOW_HNSN_SOFN,3,9,0.0,0,27
BLOW_HNSN_SOFN,4,4,0.0,0,57
BLOW_HNSN_SOFN,4,5,0.0,0,28
BLOW_HNSN_SOFN,4,6,0.0,0,51
BLOW_HNSN_SOFN,4,7,0.0,0,12
BLOW_HNSN_SOFN,4,8,0.0,0,72
BLOW_HNSN_SOFN,4,9,0.0,0,3
BLOW_HNSN_SPAO,0,4,0.0,0,39
BLOW_HNSN_SPAO,0,5,0.0,0,16
BLOW_HNSN_SPAO,0,6,0.0,0,21
BLOW_HNSN_SPAO,0,7,0.0,0,34
BLOW_HNSN_SPAO,0,8,0.0,0,29
BLOW_HNSN_SPAO,0,9,0.0,0,42
BLOW_HNSN_SPAO,1,4,0.021739130434782608,1,45
BLOW_HNSN_SPAO,1,5,0.0,0,12
BLOW_HNSN_SPAO,1,6,0.0,0,15
BLOW_HNSN_SPAO,1,7,0.0,0,19
BLOW_HNSN_SPAO,1,8,0.0,0,29
BLOW_HNSN_SPAO,1,9,0.0,0,22
BLOW_HNSN_SPAO,2,4,0.038461538461538464,2,50
BLOW_HNSN_SPAO,2,5,0.0,0,9
BLOW_HNSN_SPAO,2,6,0.0,0,58
BLOW_HNSN_SPAO,2,7,0.0,0,13
BLOW_HNSN_SPAO,2,8,0.0,0,23
BLOW_HNSN_SPAO,2,9,0.0,0,10
BLOW_HNSN_SPAO,3,4,0.0,0,11
BLOW_HNSN_SPAO,3,5,0.0,0,51
BLOW_HNSN_SPAO,3,6,0.0,0,26
BLOW_HNSN_SPAO,3,7,0.0,0,10
BLOW_HNSN_SPAO,3,8,0.0,0,19
BLOW_HNSN_SPAO,3,9,0.0,0,36
BLOW_HNSN_SPAO,4,4,0.0,0,53
BLOW_HNSN_SPAO,4,5,0.0,0,30
BLOW_HNSN_SPAO,4,6,0.0,0,53
BLOW_HNSN_SPAO,4,7,0.0,0,11
BLOW_HNSN_SPAO,4,8,0.0,0,57
BLOW_HNSN_SPAO,4,9,0.0,0,4
BLOW_HNSN_TUNM,0,4,0.0,0,30
BLOW_HNSN_TUNM,0,5,0.0,0,37
BLOW_HNSN_TUNM,0,6,0.0,0,25
BLOW_HNSN_TUNM,0,7,0.0,0,28
BLOW_HNSN_TUNM,0,8,0.0,0,29
BLOW_HNSN_TUNM,0,9,0.0,0,34
BLOW_HNSN_TUNM,1,4,0.02564102564102564,1,38
BLOW_HNSN_TUNM,1,5,0.0,0,14
BLOW_HNSN_TUNM,1,6,0.0,0,21
BLOW_HNSN_TUNM,1,7,0.0,0,27
BLOW_HNSN_TUNM,1,8,0.0,0,18
BLOW_HNSN_TUNM,1,9,0.0,0,25
BLOW_HNSN_TUNM,2,4,0.04081632653061224,2,47
BLOW_HNSN_TUNM,2,5,0.0,0,5
BLOW_HNSN_TUNM,2,6,0.0,0,44
BLOW_HNSN_TUNM,2,7,0.0,0,13
BLOW_HNSN_TUNM,2,8,0.0,0,29
BLOW_HNSN_TUNM,2,9,0.0,0,10
BLOW_HNSN_TUNM,3,4,0.0,0,23
BLOW_HNSN_TUNM,3,5,0.0,0,53
BLOW_HNSN_TUNM,3,6,0.0,0,20
BLOW_HNSN_TUNM,3,7,0.0,0,9
BLOW_HNSN_TUNM,3,8,0.0,0,16
BLOW_HNSN_TUNM,3,9,0.0,0,34
BLOW_HNSN_TUNM,4,4,0.0,0,60
BLOW_HNSN_TUNM,4,5,0.0,0,26
BLOW_HNSN_TUNM,4,6,0.0,0,64
BLOW_HNSN_TUNM,4,7,0.0,0,15
BLOW_HNSN_TUNM,4,8,0.0,0,40
BLOW_HNSN_TUNM,4,9,0.0,0,5
BLOW_HNSN_YENL,0,4,0.0,0,38
BLOW_HNSN_YENL,0,5,0.0,0,17
BLOW_HNSN_YENL,0,6,0.0,0,18
BLOW_HNSN_YENL,0,7,0.0,0,53
BLOW_HNSN_YENL,0,8,0.0,0,33
BLOW_HNSN_YENL,0,9,0.0,0,45
BLOW_HNSN_YENL,1,4,0.018867924528301886,1,52
BLOW_HNSN_YENL,1,5,0.0,0,10
BLOW_HNSN_YENL,1,6,0.0,0,14
BLOW_HNSN_YENL,1,7,0.0,0,19
BLOW_HNSN_YENL,1,8,0.0,0,31
BLOW_HNSN_YENL,1,9,0.0,0,30
BLOW_HNSN_YENL,2,4,0.046511627906976744,2,41
BLOW_HNSN_YENL,2,5,0.0,0,9
BLOW_HNSN_YENL,2,6,0.0,0,66
BLOW_HNSN_YENL,2,7,0.0,0,25
